127.0.0.1 - - [02/Nov/2023:09:48:46 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/ HTTP/1.1" 200 23302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/images/avatar.jpg HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/css/main.css HTTP/1.1" 200 54652
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/browser.min.js HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/images/banner.jpg HTTP/1.1" 200 62885
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/images/pic01.jpg HTTP/1.1" 200 19013
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/images/pic02.jpg HTTP/1.1" 200 18665
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:47 +0900] "GET /controller/resources/images/pic03.jpg HTTP/1.1" 200 18892
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:48 +0900] "GET /controller/resources/webfonts/fa-regular-400.eot? HTTP/1.1" 200 34034
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:48 +0900] "GET /controller/resources/webfonts/fa-solid-900.eot? HTTP/1.1" 200 203030
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:48:48 +0900] "GET /controller/resources/webfonts/fa-brands-400.eot? HTTP/1.1" 200 134294
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:00 +0900] "GET /controller/ HTTP/1.1" 200 23302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:20 +0900] "GET /controller/ HTTP/1.1" 200 23302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/ HTTP/1.1" 200 23302
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/images/avatar.jpg HTTP/1.1" 200 6558
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/css/main.css HTTP/1.1" 200 54652
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/images/banner.jpg HTTP/1.1" 200 62885
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/images/pic01.jpg HTTP/1.1" 200 19013
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/images/pic03.jpg HTTP/1.1" 200 18892
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/images/pic02.jpg HTTP/1.1" 200 18665
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/css/fontawesome-all.min.css HTTP/1.1" 200 59401
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/browser.min.js HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/jquery.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/breakpoints.min.js HTTP/1.1" 200 2439
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:36 +0900] "GET /controller/resources/js/main.js HTTP/1.1" 200 3501
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:37 +0900] "GET /controller/resources/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 78268
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:37 +0900] "GET /controller/resources/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 76736
0:0:0:0:0:0:0:1 - - [02/Nov/2023:09:49:37 +0900] "GET /favicon.ico HTTP/1.1" 404 761
